"Timestamp","Cluster","Node","CPU","SoC"
"2022-08-11T15:02:08.369","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.370","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.370","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.371","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.371","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.371","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.372","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.372","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.373","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.373","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.374","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.374","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.374","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.375","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.376","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.376","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.376","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.377","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.377","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.378","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.378","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.379","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.379","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.380","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.380","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.381","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.381","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.382","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.382","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.384","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.384","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.385","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.385","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.385","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.386","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.386","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.387","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.387","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.388","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.388","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.389","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.389","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.390","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.390","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.390","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.391","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.391","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.392","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.392","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.393","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.393","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.393","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.394","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.394","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.395","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.395","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.396","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.396","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.397","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.397","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.397","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.398","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.398","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.399","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.399","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.399","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.400","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.401","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.401","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.402","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.402","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.402","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.403","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.403","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.404","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.404","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.405","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.405","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.406","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.406","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.406","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.407","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.408","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.408","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.408","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.409","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.409","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.410","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.410","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.411","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.411","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.412","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.412","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.412","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.413","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.414","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.414","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.415","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.415","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.416","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.416","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.417","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.417","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.417","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.418","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.419","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.419","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.419","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.420","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.421","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.421","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.422","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.422","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.423","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.423","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.424","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.424","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.425","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.425","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.425","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:08.426","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:08.426","3","kubernetes-worker1","100.0",""
"2022-08-11T15:02:08.427","3","kubernetes-worker2","100.0",""
"2022-08-11T15:02:08.427","3","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.298","2","kubernetes-control-plane","0.0",""
"2022-08-11T15:02:11.303","2","kubernetes-worker1","0.0",""
"2022-08-11T15:02:11.304","2","kubernetes-worker2","0.0",""
"2022-08-11T15:02:11.305","2","kubernetes-worker3","0.0",""
"2022-08-11T15:02:11.306","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.308","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.308","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.309","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.310","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.310","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.311","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.312","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.313","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.313","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.314","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.315","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.315","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.316","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.316","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.318","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.319","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.319","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.320","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.322","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.323","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.323","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.324","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.326","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.327","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.328","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.329","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.329","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.338","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.338","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.339","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.347","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.348","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.360","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.361","2","kubernetes-worker2","100.0",""
"2022-08-11T15:02:11.362","2","kubernetes-worker3","100.0",""
"2022-08-11T15:02:11.362","2","kubernetes-control-plane","950.0",""
"2022-08-11T15:02:11.363","2","kubernetes-worker1","100.0",""
"2022-08-11T15:02:11.363","2","kubernetes-worker2","100.0",""
