"Timestamp","Cluster","Node","CPU","SoC"
"2022-08-11T15:11:39.850","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.851","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.851","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.852","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.853","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.853","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.854","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.854","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.855","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.856","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.856","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.857","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.857","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.858","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.859","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.859","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.860","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.860","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.861","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.861","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.862","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.863","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.864","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.867","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.868","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.868","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.869","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.870","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.871","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.871","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.872","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.872","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.873","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.873","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.874","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.875","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.875","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.876","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.876","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.877","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.877","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.878","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.878","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.879","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.879","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.880","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.880","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.881","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.881","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.882","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.882","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.883","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.883","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.884","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.884","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.885","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.885","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.886","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.886","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.887","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.887","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.888","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.888","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.889","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.890","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.890","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.891","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.891","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.891","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.892","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.892","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.893","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.893","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.894","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.894","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.895","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.895","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.896","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.896","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.897","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.897","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.898","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.898","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.899","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.899","3","kubernetes-worker1","100.0",""
"2022-08-11T15:11:39.899","3","kubernetes-worker2","100.0",""
"2022-08-11T15:11:39.900","3","kubernetes-worker3","100.0",""
"2022-08-11T15:11:39.900","3","kubernetes-control-plane","950.0",""
"2022-08-11T15:11:39.901","3","kubernetes-worker1","100.0",""
